row_id,order_id,year,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,product_id,category,sub_category,product_name,sales,quantity,total_sales
43,CA-2013-101343,2013,7/18/2013,7/23/2013,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049,West,OFF-ST-10003479,Office Supplies,Storage,Eldon Base for stackable storage shelf platinum,77.88,2,155.76
44,CA-2014-139619,2014,9/20/2014,9/24/2014,Standard Class,ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,32935,South,OFF-ST-10003282,Office Supplies,Storage,Advantus 10Drawer Portable Organizer Chrome Metal Frame Smoke Drawers,95.616,2,191.232
45,CA-2013-118255,2013,3/12/2013,3/14/2013,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,TEC-AC-10000171,Technology,Accessories,Verbatim 25 GB 6x Bluray Single Layer Recordable Disc 25Pack,45.98,2,91.96
46,CA-2013-118255,2013,3/12/2013,3/14/2013,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones LeatherLike Binders with DublLock Round Rings,17.46,2,34.92
47,CA-2011-146703,2011,10/20/2011,10/25/2011,Second Class,PO-18865,Patrick ODonnell,Consumer,United States,Westland,Michigan,48185,Central,OFF-ST-10001713,Office Supplies,Storage,Gould Plastics 9Pocket Panel Bin 1838w x 514d x 2012h Black,211.96,4,847.84
48,CA-2013-169194,2013,6/21/2013,6/26/2013,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 20 Flash Drive,45,3,135
49,CA-2013-169194,2013,6/21/2013,6/26/2013,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,TEC-PH-10003988,Technology,Phones,LF Elite 3D Dazzle Designer Hard Case Cover Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite,21.8,2,43.6
50,CA-2012-115742,2012,4/18/2012,4/22/2012,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFF-BI-10004410,Office Supplies,Binders,CLine Peel  Stick AddOn Filing Pockets 834 x 518 10Pack,38.22,6,229.32
51,CA-2012-115742,2012,4/18/2012,4/22/2012,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.18,6,451.08
52,CA-2012-115742,2012,4/18/2012,4/22/2012,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,FUR-FU-10001706,Furniture,Furnishings,LongerLife Soft White Bulbs,6.16,2,12.32
53,CA-2012-115742,2012,4/18/2012,4/22/2012,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,FUR-CH-10003061,Furniture,Chairs,Global Leather Task Chair Black,89.99,1,89.99
54,CA-2013-105816,2013,12/12/2013,12/18/2013,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,106.82
55,CA-2013-105816,2013,12/12/2013,12/18/2013,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,TEC-PH-10002447,Technology,Phones,ATT CL83451 4Handset Telephone,1029.95,5,5149.75
56,CA-2013-111682,2013,6/18/2013,6/19/2013,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-ST-10000604,Office Supplies,Storage,HomeOffice Personal File Carts,208.56,6,1251.36
57,CA-2013-111682,2013,6/18/2013,6/19/2013,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.4,5,162
58,CA-2013-111682,2013,6/18/2013,6/19/2013,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,1597.05
59,CA-2013-111682,2013,6/18/2013,6/19/2013,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-PA-10000587,Office Supplies,Paper,Array Parchment Paper Assorted Colors,14.56,2,29.12
60,CA-2013-111682,2013,6/18/2013,6/19/2013,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 20 Flash Drive,30,2,60
61,CA-2013-111682,2013,6/18/2013,6/19/2013,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,4,193.92
62,CA-2013-111682,2013,6/18/2013,6/19/2013,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,1.68
63,CA-2012-135545,2012,11/24/2012,11/30/2012,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,TEC-AC-10004633,Technology,Accessories,Verbatim 25 GB 6x Bluray Single Layer Recordable Disc 3Pack,13.98,2,27.96
64,CA-2012-135545,2012,11/24/2012,11/30/2012,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,OFF-BI-10001078,Office Supplies,Binders,Acco PRESSTEX Data Binder with Storage Hooks Dark Blue 14 78 X 11,25.824,6,154.944
65,CA-2012-135545,2012,11/24/2012,11/30/2012,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.73,3,440.19
66,CA-2012-135545,2012,11/24/2012,11/30/2012,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,319.04
67,US-2012-164175,2012,4/30/2012,5/5/2012,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610,Central,FUR-CH-10001146,Furniture,Chairs,Global Value MidBack Managers Chair Gray,213.115,5,1065.575
68,CA-2011-106376,2011,12/5/2011,12/10/2011,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,OFF-AR-10002671,Office Supplies,Art,Hunt BOSTON Model 1606 HighVolume Electric Pencil Sharpener Beige,1113.024,8,8904.192
69,CA-2011-106376,2011,12/5/2011,12/10/2011,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,4,671.872
70,CA-2013-119823,2013,6/5/2013,6/7/2013,First Class,KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,22153,South,OFF-PA-10000482,Office Supplies,Paper,SnapAWay Black Print Carbonless Ruled Speed Letter Triplicate,75.88,2,151.76
71,CA-2013-106075,2013,9/19/2013,9/24/2013,Standard Class,HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,10009,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,4.616
72,CA-2014-114440,2014,9/15/2014,9/18/2014,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Jackson,Michigan,49201,Central,OFF-PA-10004675,Office Supplies,Paper,Telephone Message Books with FaxMobile Section 5 12 x 3 316,19.05,3,57.15
73,US-2012-134026,2012,4/26/2012,5/2/2012,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,FUR-CH-10000513,Furniture,Chairs,HighBack Leather Managers Chair,831.936,8,6655.488
74,US-2012-134026,2012,4/26/2012,5/2/2012,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,FUR-FU-10003708,Furniture,Furnishings,Tenex Traditional Chairmats for Medium Pile Carpet Standard Lip 36 x 48,97.04,2,194.08
75,US-2012-134026,2012,4/26/2012,5/2/2012,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784,1,72.784
76,US-2014-118038,2014,12/10/2014,12/12/2014,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.248,3,3.744
77,US-2014-118038,2014,12/10/2014,12/12/2014,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,FUR-FU-10000260,Furniture,Furnishings,6 Cubicle Wall Clock Black,9.708,3,29.124
78,US-2014-118038,2014,12/10/2014,12/12/2014,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,OFF-ST-10000615,Office Supplies,Storage,SimpliFile Personal File Black Granite 15w x 61516d x 1114h,27.24,3,81.72
79,US-2011-147606,2011,11/26/2011,12/1/2011,Second Class,JE-15745,Joel Eaton,Consumer,United States,Houston,Texas,77070,Central,FUR-FU-10003194,Furniture,Furnishings,Eldon Expressions Desk Accessory Wood Pencil Holder Oak,19.3,5,96.5
80,CA-2013-127208,2013,6/13/2013,6/16/2013,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,OFF-AP-10002118,Office Supplies,Appliances,17 Cubic Foot Compact Cube Office Refrigerators,208.16,1,208.16
81,CA-2013-127208,2013,6/13/2013,6/16/2013,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,OFF-BI-10002309,Office Supplies,Binders,Avery HeavyDuty EZD  Binder With Locking Rings,16.74,3,50.22
82,CA-2011-139451,2011,10/12/2011,10/16/2011,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,OFF-AR-10002053,Office Supplies,Art,Premium Writing Pencils Soft 2 by Central Association for the Blind,14.9,5,74.5
83,CA-2011-139451,2011,10/12/2011,10/16/2011,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,OFF-ST-10002370,Office Supplies,Storage,Sortfiler Multipurpose Personal File Organizer Black,21.39,1,21.39
84,CA-2012-149734,2012,9/3/2012,9/8/2012,Standard Class,JC-16105,Julie Creighton,Corporate,United States,Durham,North Carolina,27707,South,OFF-EN-10000927,Office Supplies,Envelopes,JetPak Recycled Peel N Seal Padded Mailers,200.984,7,1406.888
85,US-2014-119662,2014,11/14/2014,11/17/2014,First Class,CS-12400,Christopher Schild,Home Office,United States,Chicago,Illinois,60623,Central,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,3,691.128
86,CA-2014-140088,2014,5/29/2014,5/31/2014,Second Class,PO-18865,Patrick ODonnell,Consumer,United States,Columbia,South Carolina,29203,South,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2,603.92
87,CA-2014-155558,2014,10/27/2014,11/3/2014,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System  PC Multimedia  21CH  Wired,19.99,1,19.99
88,CA-2014-155558,2014,10/27/2014,11/3/2014,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,OFF-LA-10000134,Office Supplies,Labels,Avery 511,6.16,2,12.32
89,CA-2013-159695,2013,4/6/2013,4/11/2013,Second Class,GM-14455,Gary Mitchum,Home Office,United States,Houston,Texas,77095,Central,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,7,1108.576
90,CA-2013-109806,2013,9/18/2013,9/23/2013,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,3,60.3
91,CA-2013-109806,2013,9/18/2013,9/23/2013,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,TEC-PH-10004093,Technology,Phones,Panasonic KxTS550,73.584,2,147.168
92,CA-2013-109806,2013,9/18/2013,9/23/2013,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,6.48,1,6.48
93,CA-2012-149587,2012,1/31/2012,2/5/2012,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,12.96,2,25.92
94,CA-2012-149587,2012,1/31/2012,2/5/2012,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,FUR-FU-10003799,Furniture,Furnishings,Seth Thomas 13 12 Wall Clock,53.34,3,160.02
95,CA-2012-149587,2012,1/31/2012,2/5/2012,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,2,65.92
96,US-2014-109484,2014,11/7/2014,11/13/2014,Standard Class,RB-19705,Roger Barcio,Home Office,United States,Portland,Oregon,97206,West,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather Look Classic Collection Ring Binder,5.682,1,5.682
97,CA-2014-161018,2014,11/10/2014,11/12/2014,Second Class,PN-18775,Parhena Norris,Home Office,United States,New York City,New York,10009,East,FUR-FU-10000629,Furniture,Furnishings,934 Diameter Round Wall Clock,96.53,7,675.71
98,CA-2014-157833,2014,6/18/2014,6/21/2014,First Class,KD-16345,Katherine Ducich,Consumer,United States,San Francisco,California,94122,West,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312,3,153.936
99,CA-2013-149223,2013,9/7/2013,9/12/2013,Standard Class,ER-13855,Elpida Rittenbach,Corporate,United States,Saint Paul,Minnesota,55106,Central,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic HomeOffice Series Surge Protectors,77.88,6,467.28
100,CA-2013-158568,2013,8/30/2013,9/3/2013,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60610,Central,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624,7,452.368
101,CA-2013-158568,2013,8/30/2013,9/3/2013,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60610,Central,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,3,287.928
102,CA-2013-158568,2013,8/30/2013,9/3/2013,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60610,Central,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788,3,5.364
103,CA-2013-129903,2013,12/2/2013,12/5/2013,Second Class,GZ-14470,Gary Zandusky,Consumer,United States,Rochester,Minnesota,55901,Central,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White CopierLaser Paper 20Lb and 87 Bright,23.92,4,95.68
104,US-2012-156867,2012,11/13/2012,11/17/2012,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,West,TEC-AC-10001552,Technology,Accessories,Logitech K350 24Ghz Wireless Keyboard,238.896,6,1433.376
105,US-2012-156867,2012,11/13/2012,11/17/2012,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,West,FUR-FU-10004006,Furniture,Furnishings,Deflecto DuraMat Lighweight Studded Beveled Mat for Low Pile Carpeting,102.36,3,307.08
106,US-2012-156867,2012,11/13/2012,11/17/2012,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,West,OFF-BI-10002794,Office Supplies,Binders,Avery Trapezoid Ring Binder 3 Capacity Black 1040 sheets,36.882,3,110.646
107,CA-2014-119004,2014,11/24/2014,11/29/2014,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,28205,South,TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 20 Flash Drive,74.112,8,592.896
108,CA-2014-119004,2014,11/24/2014,11/29/2014,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,28205,South,TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case,27.992,1,27.992
109,CA-2014-119004,2014,11/24/2014,11/29/2014,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,28205,South,OFF-AR-10000390,Office Supplies,Art,Newell Chalk Holder,3.304,1,3.304
110,CA-2012-129476,2012,10/15/2012,10/20/2012,Standard Class,PA-19060,Pete Armstrong,Home Office,United States,Orland Park,Illinois,60462,Central,TEC-AC-10000844,Technology,Accessories,Logitech Gaming G510s  Keyboard,339.96,5,1699.8
111,CA-2014-146780,2014,12/26/2014,12/31/2014,Standard Class,CV-12805,Cynthia Voltz,Corporate,United States,New York City,New York,10035,East,FUR-FU-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp,41.96,2,83.92
